t,x,dx_dt
20688.901542557116,1.6415485549771471,-9.686466184710696e-05
20696.97368518004,1.640766242744184,-9.696450919971511e-05
20705.045827802966,1.639983115785774,-9.706754594551725e-05
20713.11797042589,1.639199171339,-9.716780297042149e-05
20721.19011304882,1.638414406625665,-9.726922906017066e-05
20729.262255671743,1.6376288188514732,-9.737289807798533e-05
20737.334398294668,1.636842405205617,-9.747431278794849e-05
20745.406540917593,1.6360551628615383,-9.757705227153579e-05
20753.478683540518,1.6352670889761296,-9.768128750309302e-05
20761.550826163442,1.634478180689492,-9.778360204881764e-05
20769.622968786367,1.633688435125566,-9.788806654142945e-05
20777.69511140929,1.6328978493911606,-9.799279998556898e-05
20785.767254032216,1.6321064205760947,-9.809584478048805e-05
20793.839396655145,1.6313141457536042,-9.820228408230491e-05
20801.91153927807,1.630521021979136,-9.830752156769762e-05
20809.983681900994,1.6297270462910103,-9.841168019386615e-05
20818.05582452392,1.6289322157104227,-9.851973126195901e-05
20826.127967146844,1.6281365272402422,-9.862555272466267e-05
20834.20010976977,1.6273399778659854,-9.873110384805983e-05
20842.272252392693,1.6265425645554474,-9.884043444818857e-05
20850.344395015618,1.6257442842576595,-9.894700336854356e-05
20858.416537638543,1.6249451339039622,-9.905394365850029e-05
20866.48868026147,1.6241451104073938,-9.916438781232273e-05
20874.560822884396,1.6233442106618192,-9.927200422810145e-05
20882.63296550732,1.6225424315429742,-9.938023293187825e-05
20890.705108130245,1.6217397699077645,-9.949180312940342e-05
20898.77725075317,1.6209362225934867,-9.960058250380044e-05
20906.849393376095,1.6201317864188138,-9.970997111308222e-05
20914.92153599902,1.6193264581831097,-9.982275839259813e-05
20922.993678621944,1.6185202346656258,-9.993272515051999e-05
20931.06582124487,1.6177131126265,-0.00010004329087376362
20939.137963867797,1.6169050888060639,-0.0001001573141090617
20947.210106490722,1.6160961599240162,-0.00010026849295297069
20955.282249113647,1.6152863226804364,-0.000100380272427536
20963.35439173657,1.614475573755079,-0.00010049553356150653
20971.426534359496,1.6136639098065357,-0.00010060795530009159
20979.49867698242,1.6128513274732497,-0.00010072098627356141
20987.570819605346,1.612037823372803,-0.00010083748891442923
20995.64296222827,1.6112233941010714,-0.00010095117269903753
21003.715104851195,1.610408036233223,-0.00010106533915310578
21011.787247474123,1.6095917463230407,-0.000101183167400265
