rho,z_maxima
19.700000000000003,18.700002809360818
19.700000000000003,18.700002813318914
19.700000000000003,18.70000281871606
19.700000000000003,18.70000282638019
19.700000000000003,18.700002836858612
19.700000000000003,18.700002850418322
19.700000000000003,18.700002867073994
19.700000000000003,18.700002846672852
19.700000000000003,18.70000278677806
19.700000000000003,18.700002800465388
19.700000000000003,18.700002816061343
19.700000000000003,18.700002827606145
19.700000000000003,18.7000028347641
19.700000000000003,18.70000283778966
19.700000000000003,18.700002839860478
19.700000000000003,18.700002842628145
19.700000000000003,18.700002847110525
19.700000000000003,18.70000285400758
19.8,18.800002977131232
19.8,18.80000290394111
19.8,18.800002828210783
19.8,18.800002838363525
19.8,18.800002846326905
19.8,18.800002853240482
19.8,18.80000286104775
19.8,18.800002871501857
19.8,18.800002885846492
19.8,18.800002904665792
19.8,18.800002888244226
19.8,18.800002832100635
19.8,18.800002848389212
19.8,18.800002863941582
19.8,18.800002872980137
19.8,18.8000028788474
19.8,18.800002885162264
19.8,18.800002893623727
19.8,18.800002905363705
19.8,18.800002920835457
19.8,18.800002939820427
19.8,18.800002961477126
19.8,18.800002893243832
19.8,18.800002818933585
19.8,18.800002832385054
19.8,18.800002842282154
19.8,18.80000284955651
19.900000000000002,18.900002941730172
19.900000000000002,18.90000295078258
19.900000000000002,18.90000296795481
19.900000000000002,18.9000029517145
19.900000000000002,18.900002896042764
19.900000000000002,18.900002908601955
19.900000000000002,18.900002918364233
19.900000000000002,18.90000292815476
19.900000000000002,18.900002940572573
19.900000000000002,18.90000295720798
19.900000000000002,18.900002978472752
19.900000000000002,18.900003003562432
19.900000000000002,18.90000293911726
19.900000000000002,18.90000286682869
19.900000000000002,18.90000288103353
19.900000000000002,18.900002891921872
19.900000000000002,18.900002901698493
19.900000000000002,18.90000291343518
19.900000000000002,18.90000292972318
19.900000000000002,18.90000295201065
19.900000000000002,18.900002938403215
19.900000000000002,18.90000288442427
19.900000000000002,18.900002899217846
19.900000000000002,18.900002910686318
19.900000000000002,18.9000029212018
19.900000000000002,18.900002933607396
19.900000000000002,18.90000294970823
19.900000000000002,18.900002957366222
20.0,19.000003109842087
20.0,19.000003102410002
20.0,19.000003107667588
20.0,19.000003124204724
20.0,19.000003048564
20.0,19.000002970795304
20.0,19.000002977289117
20.0,19.00000298916359
20.0,19.00000300975706
20.0,19.000002997339656
20.0,19.00000294452933
20.0,19.000002956256697
20.0,19.000002969401233
20.0,19.00000298527082
20.0,19.00000300615029
20.0,19.00000303249581
20.0,19.000003062786764
20.0,19.000002994207232
20.0,19.000002924492925
20.0,19.000002937700753
20.0,19.000002952227522
20.0,19.000002971308255
20.0,19.000002997629878
20.0,19.00000298736907
20.0,19.00000293540388
20.0,19.000002948084312
20.0,19.000002962712816
20.0,19.000002979744316
20.1,19.100003205573536
20.1,19.100003206777505
20.1,19.1000032222957
20.1,19.10000313621686
20.1,19.100003136206716
20.1,19.100003128419676
20.1,19.100003128052546
20.1,19.10000314641875
20.1,19.100003124945435
20.1,19.10000313630491
20.1,19.100003132749666
20.1,19.100003133652844
20.1,19.100003147140303
20.1,19.100003170993762
20.1,19.100003094103744
20.1,19.10000310422176
20.1,19.10000310284185
20.1,19.100003101142068
20.1,19.100003111882753
20.1,19.10000309441922
20.1,19.100003035816133
20.1,19.10000304339006
20.1,19.10000306080748
20.1,19.100003085976855
20.1,19.10000311762737
20.1,19.1000030513365
20.1,19.100002983088018
20.1,19.10000299788072
20.200000000000003,19.200003305878987
20.200000000000003,19.200003271349445
20.200000000000003,19.200003273967
20.200000000000003,19.200003259951906
20.200000000000003,19.200003262569393
20.200000000000003,19.200003280840523
20.200000000000003,19.200003195262536
20.200000000000003,19.20000319444802
20.200000000000003,19.200003189311484
20.200000000000003,19.200003199269293
20.200000000000003,19.20000318031081
20.200000000000003,19.20000319861525
20.200000000000003,19.200003199130144
20.200000000000003,19.200003200817587
20.200000000000003,19.200003217088284
20.200000000000003,19.200003156764268
20.200000000000003,19.200003080456234
20.200000000000003,19.200003090917846
20.200000000000003,19.200003109787588
20.200000000000003,19.200003102063704
20.200000000000003,19.2000030545257
20.200000000000003,19.200003068297427
20.200000000000003,19.200003089392702
20.200000000000003,19.20000311804434
20.200000000000003,19.200003154027286
20.200000000000003,19.200003093690484
20.200000000000003,19.200003028640385
20.200000000000003,19.200003047201196
20.3,19.300003452546893
20.3,19.30000342564459
20.3,19.300003417833764
20.3,19.300003340939114
20.3,19.300003252269807
20.3,19.300003259792792
20.3,19.300003242571076
20.3,19.300003262887
20.3,19.300003262066145
20.3,19.300003270179946
20.3,19.300003294035314
20.3,19.300003222211274
20.3,19.30000323286391
20.3,19.300003232337605
20.3,19.300003242064076
20.3,19.30000322687738
20.3,19.300003251353825
20.3,19.300003255566246
20.3,19.300003261134655
20.3,19.30000328261966
20.3,19.300003217660407
20.3,19.30000314576125
20.3,19.300003162037914
20.3,19.30000319570773
20.3,19.300003188385993
20.3,19.300003210486665
20.3,19.300003215501864
20.3,19.300003230288088
20.400000000000002,19.400003650279082
20.400000000000002,19.400003549045596
20.400000000000002,19.400003521660523
20.400000000000002,19.40000350789727
20.400000000000002,19.400003467343808
20.400000000000002,19.400003448331606
20.400000000000002,19.400003451101032
20.400000000000002,19.40000337531821
20.400000000000002,19.400003375966662
20.400000000000002,19.40000336802569
20.400000000000002,19.400003342751546
20.400000000000002,19.400003282407255
20.400000000000002,19.400003293288467
20.400000000000002,19.40000332374161
20.400000000000002,19.400003258831987
20.400000000000002,19.400003274949405
20.400000000000002,19.400003279246352
20.400000000000002,19.400003296298134
20.400000000000002,19.400003285131778
20.400000000000002,19.400003306478737
20.400000000000002,19.400003309102605
20.400000000000002,19.400003327201848
20.400000000000002,19.400003359562984
20.400000000000002,19.400003280124622
20.400000000000002,19.400003285017345
20.400000000000002,19.400003294138195
20.400000000000002,19.40000328139134
20.400000000000002,19.40000322775911
20.5,19.500004169010396
20.5,19.50000399917126
20.5,19.500003899913445
20.5,19.50000384929916
20.5,19.50000373184208
20.5,19.500003691655653
20.5,19.50000363591968
